date,ATM_withdrawal,POS_payment,Foreign_transaction,Total_domestic,Cash_share
"2020-01-01",31.7,39.6,21.5,71.3,.4446003
"2020-01-02",76.9,77,14.2,153.9,.4996752
"2020-01-03",139.8,131.3,28.1,271.1,.5156769
"2020-01-04",92.2,139.5,25.5,231.7,.3979284
"2020-01-05",40.6,26,3,66.6,.6096096
"2020-01-06",114.9,107.3,27.9,222.2,.5171017
"2020-01-07",114.3,96.3,11.8,210.6,.542735
"2020-01-08",106.4,99.6,14.5,206,.5165049
"2020-01-09",103.7,99.6,11.7,203.3,.5100836
"2020-01-10",121.6,123.4,12,245,.4963265
"2020-01-11",96.5,153.2,13,249.7,.3864638
"2020-01-12",36.6,28,2.2,64.6,.5665635
"2020-01-13",84.1,104.5,22.6,188.6,.4459172
"2020-01-14",81.3,90.3,13.2,171.6,.4737762
"2020-01-15",84.4,94.4,9,178.8,.4720358
"2020-01-16",86.4,96.1,9.3,182.5,.4734247
"2020-01-17",103.1,117.1,9.6,220.2,.4682107
"2020-01-18",93,148.6,11.3,241.6,.3849338
"2020-01-19",33.5,27.5,1.9,61,.5491803
"2020-01-20",77.9,102.9,21.5,180.8,.4308628
"2020-01-21",77.5,86.2,11.6,163.7,.473427
"2020-01-22",81.4,91.1,8.9,172.5,.4718841
"2020-01-23",90,94.3,8.6,184.3,.4883342
"2020-01-24",200.5,131,9.6,331.5,.6048266
"2020-01-25",149.2,167.6,14,316.8,.4709596
"2020-01-26",55.5,31.7,2.8,87.2,.6364679
"2020-01-27",164.7,117.9,27.7,282.6,.5828025
"2020-01-28",136,95.8,14.8,231.8,.5867127
"2020-01-29",136.5,101,11.2,237.5,.5747368
"2020-01-30",139.8,104.8,10.9,244.6,.5715454
"2020-01-31",170.1,129.5,11.3,299.6,.567757
"2020-02-01",142,164.7,14.6,306.7,.4629931
"2020-02-02",48.1,29.5,2.7,77.6,.6198453
"2020-02-03",136.3,112.7,27,249,.5473896
"2020-02-04",125.4,91.8,14.3,217.2,.5773481
"2020-02-05",133.9,99.7,11.6,233.6,.5732021
"2020-02-06",128.9,101.9,11,230.8,.5584922
"2020-02-07",148.1,123,11.2,271.1,.5462929
"2020-02-08",113,151.7,14.7,264.7,.4268984
"2020-02-09",42.2,31,2.6,73.2,.5765027
"2020-02-10",91.5,105.6,23.2,197.1,.4642313
"2020-02-11",90.7,90.6,13.6,181.3,.5002758
"2020-02-12",93.4,96.3,14.6,189.7,.4923563
"2020-02-13",92.5,98.9,10.8,191.4,.4832811
"2020-02-14",121,128.8,11.1,249.8,.4843875
"2020-02-15",102.7,148,14.9,250.7,.409653
"2020-02-16",39.1,30.2,2.4,69.3,.5642135
"2020-02-17",78.2,105.9,24.8,184.1,.4247691
"2020-02-18",84,88.2,13.8,172.2,.4878049
"2020-02-19",86.4,92.2,10.5,178.6,.4837626
"2020-02-20",98.3,90.8,9.8,189.1,.5198308
"2020-02-21",119.4,115.7,10.3,235.1,.507869
"2020-02-22",103.1,140.9,13.9,244,.422541
"2020-02-23",41.3,27.2,2.2,68.5,.6029197
