date,edate,year,month,day,transactions,type,value
"2020-01-01",21915,2020,1,1,"Foreign_transactions",3,21.5
"2020-01-02",21916,2020,1,2,"Foreign_transactions",3,14.2
"2020-01-03",21917,2020,1,3,"Foreign_transactions",3,28.1
"2020-01-04",21918,2020,1,4,"Foreign_transactions",3,25.5
"2020-01-05",21919,2020,1,5,"Foreign_transactions",3,3
"2020-01-06",21920,2020,1,6,"Foreign_transactions",3,27.9
"2020-01-07",21921,2020,1,7,"Foreign_transactions",3,11.8
"2020-01-08",21922,2020,1,8,"Foreign_transactions",3,14.5
"2020-01-09",21923,2020,1,9,"Foreign_transactions",3,11.7
"2020-01-10",21924,2020,1,10,"Foreign_transactions",3,12
"2020-01-11",21925,2020,1,11,"Foreign_transactions",3,13
"2020-01-12",21926,2020,1,12,"Foreign_transactions",3,2.2
"2020-01-13",21927,2020,1,13,"Foreign_transactions",3,22.6
"2020-01-14",21928,2020,1,14,"Foreign_transactions",3,13.2
"2020-01-15",21929,2020,1,15,"Foreign_transactions",3,9
"2020-01-16",21930,2020,1,16,"Foreign_transactions",3,9.3
"2020-01-17",21931,2020,1,17,"Foreign_transactions",3,9.6
"2020-01-18",21932,2020,1,18,"Foreign_transactions",3,11.3
"2020-01-19",21933,2020,1,19,"Foreign_transactions",3,1.9
"2020-01-20",21934,2020,1,20,"Foreign_transactions",3,21.5
"2020-01-21",21935,2020,1,21,"Foreign_transactions",3,11.6
"2020-01-22",21936,2020,1,22,"Foreign_transactions",3,8.9
"2020-01-23",21937,2020,1,23,"Foreign_transactions",3,8.6
"2020-01-24",21938,2020,1,24,"Foreign_transactions",3,9.6
"2020-01-25",21939,2020,1,25,"Foreign_transactions",3,14
"2020-01-26",21940,2020,1,26,"Foreign_transactions",3,2.8
"2020-01-27",21941,2020,1,27,"Foreign_transactions",3,27.7
"2020-01-28",21942,2020,1,28,"Foreign_transactions",3,14.8
"2020-01-29",21943,2020,1,29,"Foreign_transactions",3,11.2
"2020-01-30",21944,2020,1,30,"Foreign_transactions",3,10.9
"2020-01-31",21945,2020,1,31,"Foreign_transactions",3,11.3
"2020-02-01",21946,2020,2,1,"Foreign_transactions",3,14.6
"2020-02-02",21947,2020,2,2,"Foreign_transactions",3,2.7
"2020-02-03",21948,2020,2,3,"Foreign_transactions",3,27
"2020-02-04",21949,2020,2,4,"Foreign_transactions",3,14.3
"2020-02-05",21950,2020,2,5,"Foreign_transactions",3,11.6
"2020-02-06",21951,2020,2,6,"Foreign_transactions",3,11
"2020-02-07",21952,2020,2,7,"Foreign_transactions",3,11.2
"2020-02-08",21953,2020,2,8,"Foreign_transactions",3,14.7
"2020-02-09",21954,2020,2,9,"Foreign_transactions",3,2.6
"2020-02-10",21955,2020,2,10,"Foreign_transactions",3,23.2
"2020-02-11",21956,2020,2,11,"Foreign_transactions",3,13.6
"2020-02-12",21957,2020,2,12,"Foreign_transactions",3,14.6
"2020-02-13",21958,2020,2,13,"Foreign_transactions",3,10.8
"2020-02-14",21959,2020,2,14,"Foreign_transactions",3,11.1
"2020-02-15",21960,2020,2,15,"Foreign_transactions",3,14.9
