datum,indicator,value,edate,year,month,calweek,day
"2002-01","DHU",86.753984,15341,2002,1,1,1
"2002-02","DHU",81.929538,15372,2002,2,5,1
"2002-03","DHU",87.553332,15400,2002,3,9,1
"2002-04","DHU",86.444838,15431,2002,4,13,1
"2002-05","DHU",91.294014,15461,2002,5,18,1
"2002-06","DHU",82.197681,15492,2002,6,22,1
"2002-07","DHU",85.606518,15522,2002,7,26,1
"2002-08","DHU",82.126553,15553,2002,8,31,1
"2002-09","DHU",86.682643,15584,2002,9,35,1
"2002-10","DHU",90.239919,15614,2002,10,40,1
"2002-11","DHU",94.773357,15645,2002,11,44,1
"2002-12","DHU",109.62751,15675,2002,12,48,1
"2003-01","DHU",86.697806,15706,2003,1,1,1
"2003-02","DHU",80.602743,15737,2003,2,5,1
"2003-03","DHU",86.336366,15765,2003,3,9,1
"2003-04","DHU",86.953659,15796,2003,4,13,1
"2003-05","DHU",91.003723,15826,2003,5,18,1
"2003-06","DHU",82.972347,15857,2003,6,22,1
"2003-07","DHU",86.389887,15887,2003,7,26,1
"2003-08","DHU",80.269826,15918,2003,8,31,1
"2003-09","DHU",87.863521,15949,2003,9,35,1
"2003-10","DHU",91.517967,15979,2003,10,40,1
"2003-11","DHU",93.067592,16010,2003,11,44,1
"2003-12","DHU",110.66125,16040,2003,12,48,1
"2004-01","DHU",89.338634,16071,2004,1,1,1
"2004-02","DHU",81.442392,16102,2004,2,5,1
"2004-03","DHU",87.121878,16131,2004,3,9,1
"2004-04","DHU",88.32878,16162,2004,4,14,1
"2004-05","DHU",92.593318,16192,2004,5,18,1
"2004-06","DHU",85.580454,16223,2004,6,22,1
"2004-07","DHU",86.794484,16253,2004,7,27,1
"2004-08","DHU",83.218158,16284,2004,8,31,1
"2004-09","DHU",86.940252,16315,2004,9,35,1
"2004-10","DHU",90.48249,16345,2004,10,40,1
"2004-11","DHU",95.866869,16376,2004,11,44,1
"2004-12","DHU",108.64005,16406,2004,12,48,1
"2005-01","DHU",88.494265,16437,2005,1,1,1
"2005-02","DHU",82.469196,16468,2005,2,5,1
"2005-03","DHU",89.546346,16496,2005,3,9,1
"2005-04","DHU",89.907037,16527,2005,4,13,1
"2005-05","DHU",92.14093,16557,2005,5,18,1
"2005-06","DHU",87.704118,16588,2005,6,22,1
"2005-07","DHU",89.609595,16618,2005,7,26,1
"2005-08","DHU",86.249163,16649,2005,8,31,1
"2005-09","DHU",88.18243,16680,2005,9,35,1
"2005-10","DHU",93.750153,16710,2005,10,40,1
"2005-11","DHU",97.174733,16741,2005,11,44,1
"2005-12","DHU",110.10487,16771,2005,12,48,1
"2006-01","DHU",90.572411,16802,2006,1,1,1
"2006-02","DHU",83.04267,16833,2006,2,5,1
"2006-03","DHU",89.577862,16861,2006,3,9,1
"2006-04","DHU",91.359485,16892,2006,4,13,1
"2006-05","DHU",94.976313,16922,2006,5,18,1
"2006-06","DHU",89.64381,16953,2006,6,22,1
"2006-07","DHU",92.356618,16983,2006,7,26,1
"2006-08","DHU",90.100576,17014,2006,8,31,1
"2006-09","DHU",89.679357,17045,2006,9,35,1
"2006-10","DHU",94.425202,17075,2006,10,40,1
"2006-11","DHU",99.480334,17106,2006,11,44,1
"2006-12","DHU",114.81091,17136,2006,12,48,1
"2007-01","DHU",93.427756,17167,2007,1,1,1
"2007-02","DHU",85.209046,17198,2007,2,5,1
"2007-03","DHU",93.87269,17226,2007,3,9,1
"2007-04","DHU",94.985722,17257,2007,4,13,1
"2007-05","DHU",97.711683,17287,2007,5,18,1
"2007-06","DHU",91.644927,17318,2007,6,22,1
"2007-07","DHU",95.972223,17348,2007,7,26,1
"2007-08","DHU",93.213155,17379,2007,8,31,1
"2007-09","DHU",93.820856,17410,2007,9,35,1
"2007-10","DHU",99.006162,17440,2007,10,40,1
"2007-11","DHU",103.39235,17471,2007,11,44,1
"2007-12","DHU",119.30746,17501,2007,12,48,1
"2008-01","DHU",96.634772,17532,2008,1,1,1
"2008-02","DHU",89.849892,17563,2008,2,5,1
"2008-03","DHU",97.111718,17592,2008,3,9,1
"2008-04","DHU",96.189323,17623,2008,4,14,1
"2008-05","DHU",105.47816,17653,2008,5,18,1
"2008-06","DHU",97.130726,17684,2008,6,22,1
"2008-07","DHU",101.42835,17714,2008,7,27,1
"2008-08","DHU",96.269192,17745,2008,8,31,1
"2008-09","DHU",101.46701,17776,2008,9,35,1
"2008-10","DHU",102.39702,17806,2008,10,40,1
"2008-11","DHU",103.93146,17837,2008,11,44,1
"2008-12","DHU",122.73677,17867,2008,12,48,1
"2009-01","DHU",96.869159,17898,2009,1,1,1
"2009-02","DHU",89.889862,17929,2009,2,5,1
"2009-03","DHU",98.04247,17957,2009,3,9,1
"2009-04","DHU",96.749526,17988,2009,4,13,1
"2009-05","DHU",104.32096,18018,2009,5,18,1
"2009-06","DHU",96.691614,18049,2009,6,22,1
"2009-07","DHU",100.88312,18079,2009,7,26,1
"2009-08","DHU",95.436678,18110,2009,8,31,1
"2009-09","DHU",98.066941,18141,2009,9,35,1
"2009-10","DHU",104.48579,18171,2009,10,40,1
"2009-11","DHU",104.48006,18202,2009,11,44,1
"2009-12","DHU",126.71633,18232,2009,12,48,1
"2010-01","DHU",98.221552,18263,2010,1,1,1
"2010-02","DHU",91.833179,18294,2010,2,5,1
"2010-03","DHU",101.44374,18322,2010,3,9,1
"2010-04","DHU",99.685703,18353,2010,4,13,1
"2010-05","DHU",105.41073,18383,2010,5,18,1
"2010-06","DHU",98.036014,18414,2010,6,22,1
"2010-07","DHU",103.38903,18444,2010,7,26,1
"2010-08","DHU",96.368722,18475,2010,8,31,1
"2010-09","DHU",100.22402,18506,2010,9,35,1
"2010-10","DHU",104.60173,18536,2010,10,40,1
"2010-11","DHU",106.80029,18567,2010,11,44,1
"2010-12","DHU",125.35872,18597,2010,12,48,1
"2011-01","DHU",97.179284,18628,2011,1,1,1
"2011-02","DHU",91.447869,18659,2011,2,5,1
"2011-03","DHU",101.21393,18687,2011,3,9,1
"2011-04","DHU",101.78174,18718,2011,4,13,1
"2011-05","DHU",103.68818,18748,2011,5,18,1
"2011-06","DHU",99.192135,18779,2011,6,22,1
"2011-07","DHU",102.66558,18809,2011,7,26,1
"2011-08","DHU",92.728701,18840,2011,8,31,1
"2011-09","DHU",96.640784,18871,2011,9,35,1
"2011-10","DHU",102.13994,18901,2011,10,40,1
"2011-11","DHU",104.27118,18932,2011,11,44,1
"2011-12","DHU",121.22292,18962,2011,12,48,1
"2012-01","DHU",97.670563,18993,2012,1,1,1
"2012-02","DHU",89.476906,19024,2012,2,5,1
"2012-03","DHU",103.08483,19053,2012,3,9,1
"2012-04","DHU",98.69116,19084,2012,4,14,1
"2012-05","DHU",106.61279,19114,2012,5,18,1
"2012-06","DHU",100.41299,19145,2012,6,22,1
"2012-07","DHU",103.42991,19175,2012,7,27,1
"2012-08","DHU",96.297911,19206,2012,8,31,1
"2012-09","DHU",99.329835,19237,2012,9,35,1
"2012-10","DHU",103.70167,19267,2012,10,40,1
"2012-11","DHU",106.13272,19298,2012,11,44,1
