date,value,variable_short,edate,year,month,day
"2020-01-02",6272,"anz_kktrans_ch",21916,2020,1,2
"2020-01-02",531,"betrag_kktrans_ch",21916,2020,1,2
"2020-01-02",4796,"anz_kkrans_ausl",21916,2020,1,2
"2020-01-02",467,"betrag_kktrans_ausl",21916,2020,1,2
"2020-01-02",4411,"anz_kktrans_ch_praes",21916,2020,1,2
"2020-01-02",2468,"anz_kktrans_ch_praes_contactless",21916,2020,1,2
"2020-01-02",363,"betrag_kktrans_ch_praes",21916,2020,1,2
"2020-01-02",136,"betrag_kktrans_ch_praes_contactless",21916,2020,1,2
"2020-01-02",1860,"anz_kktrans_ch_distanz",21916,2020,1,2
"2020-01-02",169,"betrag_kktrans_ch_distanz",21916,2020,1,2
"2020-01-02",2539,"anz_kktrans_ausl_distanz",21916,2020,1,2
"2020-01-02",240,"betrag_kktrans_ausl_distanz",21916,2020,1,2
"2020-01-09",6432,"anz_kktrans_ch",21923,2020,1,9
"2020-01-09",486,"betrag_kktrans_ch",21923,2020,1,9
"2020-01-09",3568,"anz_kkrans_ausl",21923,2020,1,9
"2020-01-09",361,"betrag_kktrans_ausl",21923,2020,1,9
"2020-01-09",4602,"anz_kktrans_ch_praes",21923,2020,1,9
"2020-01-09",2665,"anz_kktrans_ch_praes_contactless",21923,2020,1,9
"2020-01-09",314,"betrag_kktrans_ch_praes",21923,2020,1,9
"2020-01-09",119,"betrag_kktrans_ch_praes_contactless",21923,2020,1,9
"2020-01-09",1830,"anz_kktrans_ch_distanz",21923,2020,1,9
"2020-01-09",172,"betrag_kktrans_ch_distanz",21923,2020,1,9
"2020-01-09",2156,"anz_kktrans_ausl_distanz",21923,2020,1,9
"2020-01-09",229,"betrag_kktrans_ausl_distanz",21923,2020,1,9
"2020-01-16",6573,"anz_kktrans_ch",21930,2020,1,16
"2020-01-16",484,"betrag_kktrans_ch",21930,2020,1,16
"2020-01-16",3475,"anz_kkrans_ausl",21930,2020,1,16
"2020-01-16",358,"betrag_kktrans_ausl",21930,2020,1,16
"2020-01-16",4702,"anz_kktrans_ch_praes",21930,2020,1,16
